USERNAME,ITEM_ID,QUANTITY,MESSAGE,DATE_TIME,STATUS
username,2,2,Add to cart successfully.,2023-08-07 00:07:21,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:07:21,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:07:24,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:07:25,SUCCESS
username,3,2,Item is not found.,2023-08-07 00:07:27,FAIL
username,3,2,Item is not found.,2023-08-07 00:07:27,FAIL
username,1,2,Add to cart successfully.,2023-08-07 00:07:31,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:08,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:08,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:09,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:13,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:14,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:14,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:15,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:20,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:20,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:22,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:09:22,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:24,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:09:24,SUCCESS
user222name,1,2,User is not found.,2023-08-07 00:12:12,FAIL
user222name,1,2,User is not found.,2023-08-07 00:12:13,FAIL
user222name,1,2,User is not found.,2023-08-07 00:12:13,FAIL
user222name,1,2,User is not found.,2023-08-07 00:12:14,FAIL
user222name,1,2,User is not found.,2023-08-07 00:13:43,FAIL
username,1,2,Add to cart successfully.,2023-08-07 00:13:46,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:13:55,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:13:58,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:14:01,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:05,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:19,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:25,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:29,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:32,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:32,SUCCESS
username,2,2,Add to cart successfully.,2023-08-07 00:14:33,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:14:39,SUCCESS
username,1,2,Add to cart successfully.,2023-08-07 00:14:39,SUCCESS
